"gender","race/ethnicity","parental level of education","lunch","test preparation course","math score","reading score","writing score"
"female","female","associate's degree","standard","none","66","73","68"
"female","female","bachelor's degree","standard","none","66","71","75"
"male","male","bachelor's degree","standard","completed","66","72","70"
"male","male","bachelor's degree","standard","none","66","64","58"
"male","male","high school","standard","none","66","67","67"
"male","male","high school","standard","none","66","67","64"
"female","female","associate's degree","standard","none","66","73","73"
"male","male","high school","standard","none","66","61","63"
"female","female","bachelor's degree","standard","none","66","81","73"
"female","female","high school","standard","none","66","73","72"
"male","male","associate's degree","standard","completed","66","59","70"
"female","female","associate's degree","standard","none","67","69","65"
"male","male","high school","standard","completed","67","67","63"
"female","female","associate's degree","standard","none","67","58","62"
"female","female","some college","standard","completed","67","78","80"
"female","female","associate's degree","standard","none","67","76","77"
"female","female","bachelor's degree","standard","completed","67","80","84"
"male","male","some high school","standard","completed","67","62","58"
"male","male","associate's degree","standard","none","67","63","66"
"male","male","some high school","standard","none","67","63","61"
"female","female","some college","standard","completed","67","81","89"
"male","male","high school","standard","none","67","57","52"
"male","male","some college","standard","none","67","55","53"
"male","male","some high school","standard","none","68","51","48"
"male","male","some high school","standard","none","68","74","69"
"male","male","high school","standard","completed","68","70","63"
"female","female","bachelor's degree","standard","completed","68","78","84"
"male","male","some college","standard","none","68","71","63"
"female","female","bachelor's degree","standard","none","68","74","74"
"female","female","high school","standard","none","68","72","73"
"male","male","some high school","standard","completed","68","63","62"
"male","male","associate's degree","standard","completed","68","82","77"
"male","male","bachelor's degree","standard","none","68","66","73"
"male","male","some high school","standard","completed","68","72","73"
"male","male","high school","standard","none","68","74","71"
"male","male","some high school","standard","none","68","71","61"
"male","male","high school","standard","completed","68","60","63"
"female","female","some college","standard","completed","68","75","73"
"male","male","associate's degree","standard","none","68","61","62"
"male","male","master's degree","standard","none","68","60","62"
"female","female","associate's degree","standard","none","68","71","71"
"male","male","some college","standard","none","69","56","57"
"male","male","high school","standard","none","69","58","50"
"male","male","high school","standard","completed","69","63","59"
"male","male","some high school","standard","completed","69","67","62"
"female","female","high school","standard","none","69","85","78"
"female","female","associate's degree","standard","none","69","83","76"
"female","female","some high school","standard","none","69","71","67"
"male","male","high school","standard","completed","69","75","74"
"male","male","high school","standard","none","69","60","54"
"female","female","high school","standard","none","69","71","76"
"female","female","associate's degree","standard","completed","69","75","71"
"female","female","some college","standard","completed","69","94","87"
"male","male","some college","standard","none","69","63","66"
"male","male","some college","standard","none","70","64","62"
"female","female","some high school","standard","none","70","70","68"
"male","male","master's degree","standard","none","70","66","65"
"female","female","high school","standard","none","70","75","74"
"female","female","some high school","standard","completed","70","75","75"
"female","female","some high school","standard","completed","70","78","76"
"male","male","high school","standard","none","70","62","61"
"female","female","some college","standard","none","70","78","80"
"male","male","some high school","standard","completed","70","79","73"
"female","female","some college","standard","none","70","75","75"
"female","female","associate's degree","standard","completed","70","80","86"
"female","female","bachelor's degree","standard","none","70","78","82"
"female","female","high school","standard","none","70","85","85"
"female","female","master's degree","standard","none","70","64","65"
"female","female","associate's degree","standard","completed","70","78","87"
"female","female","some college","standard","none","70","73","66"
"female","female","high school","standard","none","70","72","75"
"male","male","associate's degree","standard","completed","70","76","72"
"female","female","high school","standard","completed","70","73","80"
"male","male","some college","standard","completed","70","60","65"
"male","male","bachelor's degree","standard","none","71","63","66"
"male","male","associate's degree","standard","none","71","57","59"
"male","male","high school","standard","none","71","68","60"
"female","female","high school","standard","none","71","77","70"
"female","female","master's degree","standard","none","71","82","82"
"male","male","associate's degree","standard","none","71","72","69"
"male","male","bachelor's degree","standard","none","71","57","60"
"female","female","some high school","standard","completed","71","83","89"
"male","male","associate's degree","standard","none","71","68","63"
"male","male","bachelor's degree","standard","none","71","69","65"
"female","female","bachelor's degree","standard","none","71","81","80"
"female","female","some high school","standard","none","71","77","79"
"female","female","master's degree","standard","completed","71","79","89"
"male","male","high school","standard","none","71","60","56"
"male","male","some high school","standard","none","71","72","69"
"female","female","some college","standard","none","71","71","76"
"male","male","some college","standard","completed","71","69","73"
"female","female","master's degree","standard","none","71","88","85"
"female","female","bachelor's degree","standard","completed","71","87","92"
"female","female","some high school","standard","none","71","72","71"
"male","male","some college","standard","none","72","65","59"
"female","female","some college","standard","none","72","83","83"
"male","male","high school","standard","none","72","76","72"
"male","male","high school","standard","none","72","59","54"
"male","male","some high school","standard","none","72","68","67"
"female","female","associate's degree","standard","completed","72","76","78"
"male","male","some college","standard","completed","72","72","72"
"male","male","high school","standard","none","72","71","65"
"female","female","associate's degree","standard","none","72","77","77"
"female","female","high school","standard","completed","72","86","79"
"female","female","high school","standard","none","72","70","72"
"female","female","some high school","standard","completed","72","88","92"
"female","female","some college","standard","none","72","84","82"
"male","male","some high school","standard","none","73","66","59"
"male","male","some high school","standard","none","73","72","64"
"male","male","some college","standard","none","73","68","66"
"male","male","some high school","standard","none","73","71","64"
"male","male","some college","standard","none","73","75","71"
"female","female","master's degree","standard","completed","73","86","85"
"male","male","some college","standard","completed","73","81","76"
"male","male","high school","standard","none","73","72","69"
"male","male","associate's degree","standard","none","73","73","70"
"male","male","some college","standard","none","73","51","53"
"male","male","high school","standard","none","73","65","64"
"male","male","high school","standard","none","73","70","65"
"female","female","some college","standard","none","73","74","82"
"female","female","master's degree","standard","completed","74","78","84"
"female","female","associate's degree","standard","none","74","81","85"
"female","female","high school","standard","completed","74","84","79"
"female","female","associate's degree","standard","none","74","78","86"
"male","male","high school","standard","none","74","63","65"
"male","male","some college","standard","none","74","76","70"
"female","female","bachelor's degree","standard","completed","74","93","93"
"male","male","high school","standard","completed","74","74","73"
"male","male","some high school","standard","none","74","71","70"
"male","male","associate's degree","standard","completed","74","73","77"
"female","female","some college","standard","completed","74","85","84"
"female","female","high school","standard","completed","74","89","89"
"male","male","associate's degree","standard","none","74","61","59"
"male","male","some college","standard","completed","74","73","75"
"male","male","associate's degree","standard","none","74","61","56"
"female","female","some college","standard","none","74","75","79"
"female","female","some college","standard","completed","74","95","94"
"male","male","high school","standard","completed","74","71","65"
"male","male","associate's degree","standard","none","74","76","70"
"male","male","associate's degree","standard","none","74","78","72"
"male","male","high school","standard","none","74","69","61"
"male","male","associate's degree","standard","none","74","73","67"
"male","male","some college","standard","completed","75","78","79"
"male","male","associate's degree","standard","completed","75","74","76"
"female","female","high school","standard","completed","75","93","97"
"male","male","high school","standard","none","75","63","60"
"female","female","some college","standard","completed","75","76","85"
"female","female","high school","standard","none","75","90","78"
"female","female","associate's degree","standard","completed","75","85","87"
"male","male","high school","standard","none","75","68","66"
"female","female","master's degree","standard","none","75","84","86"
"female","female","some high school","standard","none","75","76","76"
"female","female","some high school","standard","none","75","80","72"
"male","male","associate's degree","standard","none","75","69","65"
"female","female","master's degree","standard","completed","75","75","83"
"female","female","some college","standard","none","75","76","81"
"male","male","high school","standard","completed","75","73","66"
"male","male","high school","standard","none","75","70","64"
"female","female","some high school","standard","none","76","81","79"
"female","female","high school","standard","none","76","80","81"
"male","male","associate's degree","standard","completed","76","76","83"
"male","male","some college","standard","none","76","74","72"
"female","female","some high school","standard","completed","76","85","88"
"male","male","some high school","standard","none","76","71","70"
"male","male","associate's degree","standard","completed","76","79","76"
"female","female","some high school","standard","none","76","83","79"
"male","male","associate's degree","standard","completed","76","83","78"
"female","female","some high school","standard","none","76","82","74"
"male","male","high school","standard","none","76","77","67"
"female","female","some high school","standard","none","76","88","84"
"male","male","associate's degree","standard","none","76","62","64"
"female","female","some high school","standard","completed","76","90","87"
"male","male","associate's degree","standard","none","77","80","80"
"female","female","associate's degree","standard","none","77","81","79"
"male","male","bachelor's degree","standard","completed","77","70","78"
"male","male","associate's degree","standard","none","77","73","74"
"male","male","some college","standard","completed","77","76","77"
"female","female","associate's degree","standard","none","77","82","80"
"male","male","high school","standard","none","77","67","64"
"male","male","high school","standard","none","77","80","72"
"female","female","some college","standard","none","77","77","83"
"male","male","associate's degree","standard","completed","77","87","85"
"female","female","some high school","standard","completed","77","86","90"
"male","male","high school","standard","none","77","62","65"
"male","male","associate's degree","standard","none","77","71","64"
"male","male","high school","standard","none","77","76","74"
"female","female","some college","standard","none","77","86","84"
"female","female","associate's degree","standard","completed","77","91","89"
"male","male","associate's degree","standard","completed","77","73","80"
"male","male","high school","standard","none","77","78","68"
"male","male","some college","standard","none","77","64","70"
"male","male","some high school","standard","completed","77","74","75"
"male","male","some college","standard","completed","77","72","79"
"female","female","high school","standard","none","77","91","87"
"female","female","some high school","standard","none","77","83","86"
"female","female","high school","standard","none","77","77","79"
"male","male","high school","standard","completed","77","77","78"
"male","male","master's degree","standard","none","77","76","73"
"male","male","bachelor's degree","standard","completed","77","82","78"
"female","female","master's degree","standard","none","77","84","92"
"male","male","associate's degree","standard","none","78","71","67"
"male","male","associate's degree","standard","none","78","74","71"
"male","male","associate's degree","standard","none","78","74","76"
"male","male","some college","standard","completed","78","83","77"
"male","male","associate's degree","standard","completed","78","69","71"
"female","female","bachelor's degree","standard","completed","78","87","89"
"male","male","some college","standard","none","78","65","60"
"male","male","associate's degree","standard","completed","78","73","68"
"male","male","some college","standard","completed","78","69","73"
"female","female","some college","standard","completed","78","85","93"
"male","male","some college","standard","none","78","72","72"
"male","male","some college","standard","completed","78","78","74"
"male","male","associate's degree","standard","none","78","73","76"
"male","male","associate's degree","standard","none","78","72","68"
"female","female","some college","standard","none","78","83","78"
"male","male","some college","standard","none","78","69","71"
"female","female","associate's degree","standard","none","78","72","71"
"male","male","high school","standard","completed","78","76","73"
"female","female","bachelor's degree","standard","none","78","89","93"
"female","female","some college","standard","none","78","96","89"
"female","female","master's degree","standard","none","79","77","83"
"male","male","high school","standard","completed","79","79","70"
"female","female","some college","standard","none","79","79","80"
"female","female","some high school","standard","completed","79","76","81"
"male","male","bachelor's degree","standard","none","79","57","58"
"female","female","associate's degree","standard","completed","79","69","75"
"male","male","high school","standard","none","79","78","77"
"female","female","master's degree","standard","none","79","79","87"
"female","female","some college","standard","none","79","76","71"
"male","male","bachelor's degree","standard","completed","79","80","75"
"female","female","some college","standard","completed","79","88","86"
"male","male","high school","standard","completed","79","84","80"
"male","male","high school","standard","none","79","64","60"
"female","female","bachelor's degree","standard","completed","79","88","89"
"male","male","high school","standard","completed","80","80","79"
"male","male","some college","standard","completed","80","66","69"
"female","female","high school","standard","none","80","85","83"
"female","female","some college","standard","none","80","90","90"
"male","male","bachelor's degree","standard","none","80","84","86"
"female","female","high school","standard","completed","80","87","90"
"male","male","some college","standard","none","80","87","79"
"male","male","high school","standard","none","80","77","72"
"male","male","bachelor's degree","standard","none","80","78","74"
"male","male","master's degree","standard","completed","80","71","68"
"male","male","associate's degree","standard","none","80","79","79"
"male","male","some high school","standard","none","80","70","60"
"female","female","master's degree","standard","none","81","81","87"
"male","male","some high school","standard","completed","81","87","85"
"female","female","some high school","standard","none","81","85","91"
"female","female","high school","standard","completed","81","79","83"
"male","male","high school","standard","none","81","72","58"
"female","female","high school","standard","completed","81","91","94"
"female","female","associate's degree","standard","none","81","77","74"
"female","female","master's degree","standard","completed","81","86","93"
"male","male","some college","standard","none","81","75","70"
"male","male","associate's degree","standard","completed","82","83","85"
"male","male","high school","standard","none","82","74","73"
"male","male","some high school","standard","none","82","69","72"
"male","male","high school","standard","none","82","77","71"
"female","female","high school","standard","none","82","89","84"
"female","female","bachelor's degree","standard","completed","82","87","90"
"female","female","high school","standard","none","82","95","96"
"male","male","bachelor's degree","standard","none","82","83","85"
"female","female","some college","standard","completed","82","86","90"
"male","male","bachelor's degree","standard","completed","83","75","75"
"male","male","some college","standard","none","83","68","65"
"female","female","associate's degree","standard","none","83","76","88"
"male","male","some college","standard","none","83","85","79"
"female","female","some college","standard","completed","83","92","95"
"male","male","high school","standard","none","83","72","68"
"male","male","associate's degree","standard","completed","83","76","81"
"male","male","master's degree","standard","completed","83","93","97"
"female","female","some high school","standard","none","83","87","83"
"female","female","master's degree","standard","none","83","88","93"
"female","female","associate's degree","standard","none","83","78","79"
"male","male","some college","standard","completed","83","74","72"
"female","female","bachelor's degree","standard","completed","83","96","99"
"male","male","associate's degree","standard","none","83","82","81"
"male","male","some college","standard","completed","83","75","71"
"male","male","associate's degree","standard","none","83","70","73"
"female","female","bachelor's degree","standard","none","83","92","91"
"female","female","associate's degree","standard","completed","84","98","97"
"male","male","associate's degree","standard","completed","84","71","76"
"male","male","bachelor's degree","standard","none","84","79","74"
"female","female","bachelor's degree","standard","none","84","95","89"
"male","male","some high school","standard","completed","84","72","76"
"female","female","bachelor's degree","standard","none","84","87","92"
"female","female","some college","standard","none","84","84","87"
"female","female","associate's degree","standard","none","84","87","89"
"female","female","associate's degree","standard","none","85","100","100"
"male","male","some college","standard","none","85","78","81"
"female","female","high school","standard","none","85","91","89"
"female","female","master's degree","standard","none","85","100","97"
"male","male","high school","standard","none","85","85","76"
"female","female","bachelor's degree","standard","none","85","86","85"
"female","female","associate's degree","standard","completed","85","87","94"
"male","male","bachelor's degree","standard","completed","85","81","82"
"male","male","associate's degree","standard","none","85","77","76"
"male","male","master's degree","standard","none","85","69","74"
"male","male","master's degree","standard","none","85","83","78"
"male","male","associate's degree","standard","completed","85","85","91"
"female","female","high school","standard","completed","85","83","94"
"female","female","some high school","standard","completed","85","100","97"
"male","male","high school","standard","none","85","70","71"
"female","female","some high school","standard","completed","85","93","92"
"female","female","some college","standard","none","85","90","84"
"male","male","some high school","standard","none","85","81","80"
"female","female","some college","standard","none","86","84","89"
"female","female","bachelor's degree","standard","none","86","87","89"
"male","male","some high school","standard","none","86","76","63"
"female","female","master's degree","standard","completed","86","100","100"
"male","male","bachelor's degree","standard","completed","86","92","93"
"female","female","master's degree","standard","none","86","90","93"
"male","male","associate's degree","standard","none","86","77","78"
"male","male","bachelor's degree","standard","none","86","71","71"
"male","male","some college","standard","none","86","83","81"
"female","female","bachelor's degree","standard","none","86","83","87"
"male","male","some high school","standard","none","87","80","76"
"male","male","high school","standard","completed","87","79","82"
"female","female","master's degree","standard","none","87","97","100"
"male","male","some college","standard","completed","87","78","80"
"female","female","associate's degree","standard","none","87","87","92"
"female","female","bachelor's degree","standard","none","87","89","84"
"male","male","some high school","standard","none","87","84","80"
"male","male","master's degree","standard","completed","87","81","86"
"male","male","master's degree","standard","none","87","86","84"
"male","male","bachelor's degree","standard","none","87","87","84"
"male","male","some college","standard","none","87","79","77"
"female","female","associate's degree","standard","none","87","93","88"
"male","male","bachelor's degree","standard","completed","88","87","94"
"male","male","some college","standard","completed","88","78","76"
"male","male","associate's degree","standard","completed","88","87","83"
"male","male","some high school","standard","none","88","65","70"
"female","female","associate's degree","standard","none","88","91","86"
"female","female","some college","standard","none","88","100","88"
"male","male","associate's degree","standard","completed","89","84","81"
"male","male","some high school","standard","completed","89","87","90"
"male","male","some high school","standard","none","89","73","70"
"female","female","bachelor's degree","standard","completed","89","93","100"
"male","male","high school","standard","completed","89","87","86"
"female","female","some college","standard","completed","89","92","97"
"male","male","some college","standard","none","89","90","83"
"male","male","bachelor's degree","standard","none","89","77","82"
"male","male","associate's degree","standard","completed","89","84","81"
"male","male","high school","standard","none","89","83","80"
"female","female","bachelor's degree","standard","none","89","100","100"
"male","male","some college","standard","completed","89","87","89"
"male","male","associate's degree","standard","none","90","76","73"
"male","male","associate's degree","standard","completed","90","89","87"
"female","female","high school","standard","none","90","88","84"
"male","male","bachelor's degree","standard","completed","90","73","83"
"male","male","bachelor's degree","standard","completed","90","88","84"
"female","female","associate's degree","standard","completed","90","95","100"
"male","male","some high school","standard","completed","90","82","88"
"female","female","some high school","standard","none","90","88","86"
"female","female","high school","standard","completed","90","89","97"
"female","female","bachelor's degree","standard","completed","91","100","100"
"female","female","some college","standard","none","91","94","96"
"male","male","some college","standard","completed","91","97","95"
"female","female","master's degree","standard","none","91","100","99"
"male","male","associate's degree","standard","none","91","88","90"
"male","male","master's degree","standard","completed","91","84","83"
"male","male","some college","standard","none","91","95","88"
"male","male","some high school","standard","none","91","77","72"
"female","female","associate's degree","standard","none","92","95","95"
"female","female","some high school","standard","completed","92","100","97"
"male","male","associate's degree","standard","none","92","78","71"
"female","female","high school","standard","none","92","86","82"
"male","male","some college","standard","completed","93","88","84"
"male","male","master's degree","standard","none","93","96","96"
"male","male","bachelor's degree","standard","completed","93","86","95"
"female","female","high school","standard","none","93","100","93"
"female","female","master's degree","standard","completed","94","100","100"
"male","male","high school","standard","none","94","89","86"
"male","male","bachelor's degree","standard","completed","94","87","93"
"male","male","some college","standard","none","94","92","85"
"female","female","associate's degree","standard","completed","94","99","100"
"male","male","bachelor's degree","standard","completed","94","92","92"
"male","male","bachelor's degree","standard","none","95","99","91"
"female","female","associate's degree","standard","completed","95","100","100"
"male","male","some high school","standard","none","96","83","82"
"male","male","some college","standard","completed","96","95","90"
"female","female","master's degree","standard","completed","96","98","100"
"male","male","some high school","standard","completed","97","80","88"
"male","male","some college","standard","none","97","93","88"
"male","male","associate's degree","standard","none","97","88","85"
"male","male","bachelor's degree","standard","none","98","92","90"
"male","male","bachelor's degree","standard","completed","98","94","95"
"male","male","associate's degree","standard","none","98","81","77"
"male","male","some college","standard","completed","99","83","85"
"male","male","master's degree","standard","none","99","81","87"
"male","male","bachelor's degree","standard","none","99","94","97"
"male","male","associate's degree","standard","none","100","91","86"
"male","male","some college","standard","completed","100","84","87"
"male","male","bachelor's degree","standard","none","100","83","86"
"male","male","associate's degree","standard","completed","100","100","100"
"female","female","master's degree","standard","completed","100","100","100"
"female","female","bachelor's degree","standard","completed","100","100","100"
"male","male","high school","standard","none","100","82","80"
"male","male","bachelor's degree","standard","completed","100","97","100"
"male","male","bachelor's degree","standard","none","100","84","88"
"male","male","associate's degree","standard","completed","100","100","100"
"male","male","some college","standard","completed","100","84","88"
"male","male","high school","standard","none","100","88","87"
"female","female","some college","standard","completed","100","100","100"
"male","male","associate's degree","standard","completed","100","91","90"
